instance,clingo-duration,clingo-timeout-occured,dlv-duration,dlv-timeout-occured,newground-duration,newground-timeout-occured
instance_05.lp,0,False,0.005640268325805664,False,0,False
instance_10.lp,0,False,0.1661207675933838,False,0,False
instance_12.lp,0,False,0.6179633140563965,False,0,False
instance_15.lp,0,False,1.620567798614502,False,0,False
instance_17.lp,0,False,7.3353071212768555,False,0,False
instance_19.lp,0,False,11.035985708236694,False,0,False
instance_21.lp,0,False,16.959640502929688,False,0,False
instance_23.lp,0,False,41.619463205337524,False,0,False
instance_25.lp,0,False,71.39438915252686,False,0,False
instance_27.lp,0,False,90.22733640670776,False,0,False
instance_29.lp,0,False,167.08510208129883,False,0,False
