instance,gringo-duration,gringo-timeout-occured,idlv-duration,idlv-timeout-occured,newground-idlv-duration,newground-idlv-timeout-occured,newground-gringo-duration,newground-gringo-timeout-occured
instance_010.lp,0.023793458938598633,False,0.023826122283935547,False,3.60502028465271,False,3.630890130996704,False
instance_013.lp,0.029223918914794922,False,0.020652055740356445,False,3.3587100505828857,False,3.359252691268921,False
instance_016.lp,0.024663209915161133,False,0.023976802825927734,False,15.334942817687988,False,16.332350969314575,False
instance_019.lp,0.03489375114440918,False,0.03890395164489746,False,26.540613651275635,False,25.49944019317627,False
instance_022.lp,0.06153988838195801,False,0.07592630386352539,False,41.74178194999695,False,38.67138719558716,False
instance_025.lp,0.042664527893066406,False,0.048340559005737305,False,62.60124397277832,False,63.440956115722656,False
instance_028.lp,0.4630167484283447,False,0.5896363258361816,False,78.06211376190186,False,70.96526336669922,False
instance_031.lp,1.1645801067352295,False,1.5000271797180176,False,100.00170922279358,False,100.54207491874695,False
instance_034.lp,17.940044403076172,False,20.0549955368042,False,145.85486102104187,False,146.89115238189697,False
instance_037.lp,8.873064279556274,False,10.19809865951538,False,181.52386617660522,False,191.03236484527588,False
instance_040.lp,881.3629155158997,False,894.7435121536255,False,258.26588320732117,False,224.56337356567383,False
instance_043.lp,125.3610634803772,False,131.39914560317993,False,298.9599952697754,False,296.87415647506714,False
instance_046.lp,65.88978552818298,False,71.28469443321228,False,388.72804284095764,False,387.2563507556915,False
instance_049.lp,773.2428472042084,False,790.490302324295,False,469.4175674915314,False,473.1771059036255,False
instance_052.lp,1541.846931219101,False,1600.7007746696472,False,541.7688763141632,False,484.8840067386627,False
instance_055.lp,464.27542448043823,False,453.99354124069214,False,571.3462581634521,False,566.4457449913025,False
instance_058.lp,1800.0000030994415,True,1800.0000035762787,True,624.5568995475769,False,627.5726509094238,False
instance_061.lp,1800,True,1800,True,729.2839117050171,False,722.8778700828552,False
instance_064.lp,1800,True,1800,True,839.5012900829315,False,837.5584285259247,False
instance_067.lp,1800,True,1800,True,972.8132665157318,False,981.9286999702454,False
instance_070.lp,1800,True,1800,True,1084.1771607398987,False,1092.2356457710266,False
instance_073.lp,1800,True,1800,True,1217.3837599754333,False,1256.837290763855,False
instance_076.lp,1800,True,1800,True,1394.1662447452545,False,1401.3203127384186,False
instance_079.lp,1800,True,1800,True,1568.0145540237427,False,1559.7987794876099,False
instance_082.lp,1800,True,1800,True,1800.00000333786,True,1800.0000040531158,True
instance_085.lp,1800,True,1800,True,1800,True,1800,True
instance_088.lp,1800,True,1800,True,1800,True,1800,True
instance_091.lp,1800,True,1800,True,1800,True,1800,True
instance_094.lp,1800,True,1800,True,1800,True,1800,True
instance_097.lp,1800,True,1800,True,1800,True,1800,True
instance_100.lp,1800,True,1800,True,1800,True,1800,True
instance_103.lp,1800,True,1800,True,1800,True,1800,True
instance_106.lp,1800,True,1800,True,1800,True,1800,True
instance_109.lp,1800,True,1800,True,1800,True,1800,True
instance_112.lp,1800,True,1800,True,1800,True,1800,True
instance_115.lp,1800,True,1800,True,1800,True,1800,True
instance_118.lp,1800,True,1800,True,1800,True,1800,True
instance_121.lp,1800,True,1800,True,1800,True,1800,True
instance_124.lp,1800,True,1800,True,1800,True,1800,True
instance_127.lp,1800,True,1800,True,1800,True,1800,True
instance_130.lp,1800,True,1800,True,1800,True,1800,True
instance_133.lp,1800,True,1800,True,1800,True,1800,True
instance_136.lp,1800,True,1800,True,1800,True,1800,True
instance_139.lp,1800,True,1800,True,1800,True,1800,True
instance_142.lp,1800,True,1800,True,1800,True,1800,True
instance_145.lp,1800,True,1800,True,1800,True,1800,True
instance_148.lp,1800,True,1800,True,1800,True,1800,True
instance_151.lp,1800,True,1800,True,1800,True,1800,True
instance_154.lp,1800,True,1800,True,1800,True,1800,True
instance_157.lp,1800,True,1800,True,1800,True,1800,True
instance_160.lp,1800,True,1800,True,1800,True,1800,True
instance_163.lp,1800,True,1800,True,1800,True,1800,True
instance_166.lp,1800,True,1800,True,1800,True,1800,True
instance_169.lp,1800,True,1800,True,1800,True,1800,True
instance_172.lp,1800,True,1800,True,1800,True,1800,True
instance_175.lp,1800,True,1800,True,1800,True,1800,True
instance_178.lp,1800,True,1800,True,1800,True,1800,True
instance_181.lp,1800,True,1800,True,1800,True,1800,True
instance_184.lp,1800,True,1800,True,1800,True,1800,True
instance_187.lp,1800,True,1800,True,1800,True,1800,True
instance_190.lp,1800,True,1800,True,1800,True,1800,True
instance_193.lp,1800,True,1800,True,1800,True,1800,True
instance_196.lp,1800,True,1800,True,1800,True,1800,True
instance_199.lp,1800,True,1800,True,1800,True,1800,True
