instance,gringo-duration,gringo-timeout-occured,idlv-duration,idlv-timeout-occured,newground-idlv-duration,newground-idlv-timeout-occured,newground-gringo-duration,newground-gringo-timeout-occured
instance_010.lp,0.025912046432495117,False,0.018951416015625,False,1.1443469524383545,False,1.2369301319122314,False
instance_013.lp,0.023475170135498047,False,0.01811528205871582,False,3.5764477252960205,False,3.666360855102539,False
instance_016.lp,0.026142120361328125,False,0.021554231643676758,False,5.3650994300842285,False,5.169729232788086,False
instance_019.lp,0.024052143096923828,False,0.02281951904296875,False,9.726760149002075,False,9.806838989257812,False
instance_022.lp,0.04351401329040527,False,0.05787515640258789,False,24.585509300231934,False,24.49263858795166,False
instance_025.lp,0.020097970962524414,False,0.02508258819580078,False,33.61886525154114,False,31.604939699172974,False
instance_028.lp,0.03002190589904785,False,0.022184371948242188,False,42.459035873413086,False,43.823201417922974,False
instance_031.lp,0.032273292541503906,False,0.02551889419555664,False,55.403515100479126,False,58.51242780685425,False
instance_034.lp,0.029674291610717773,False,0.02263951301574707,False,62.40911245346069,False,62.991779804229736,False
instance_037.lp,0.035447120666503906,False,0.026540040969848633,False,133.64203214645386,False,132.97643327713013,False
instance_040.lp,0.03341794013977051,False,0.03216814994812012,False,154.2721083164215,False,155.36648035049438,False
instance_043.lp,0.045934200286865234,False,0.041658639907836914,False,239.21195101737976,False,258.93111658096313,False
instance_046.lp,0.045864105224609375,False,0.04468035697937012,False,331.47633934020996,False,332.00173902511597,False
instance_049.lp,0.05183696746826172,False,0.05236339569091797,False,401.0271108150482,False,391.32860946655273,False
instance_052.lp,0.09601259231567383,False,0.140122652053833,False,486.1546733379364,False,468.21966552734375,False
instance_055.lp,0.4554934501647949,False,0.5990400314331055,False,546.3636043071747,False,567.8029789924622,False
instance_058.lp,3.5655694007873535,False,4.096236705780029,False,665.3833343982697,False,662.6622397899628,False
instance_061.lp,0.4469623565673828,False,0.5924434661865234,False,797.8090686798096,False,786.9974927902222,False
instance_064.lp,13.271056652069092,False,14.40890622138977,False,867.4103367328644,False,867.9509832859039,False
instance_067.lp,2.973041534423828,False,3.483243942260742,False,1079.7216169834137,False,990.8024978637695,False
instance_070.lp,1.3060510158538818,False,1.6892461776733398,False,1092.8291990756989,False,1076.3992137908936,False
instance_073.lp,2.4537370204925537,False,2.907294988632202,False,1256.7640550136566,False,1205.8666970729828,False
instance_076.lp,66.21348476409912,False,70.54888534545898,False,1321.7802414894104,False,1359.8433978557587,False
instance_079.lp,29.012672424316406,False,32.39671850204468,False,1563.3405330181122,False,1559.3757593631744,False
instance_082.lp,6.4688146114349365,False,7.495351552963257,False,1716.9069714546204,False,1705.9938488006592,False
instance_085.lp,19.30819821357727,False,21.087881326675415,False,1800.0000002384186,True,1800.0000004768372,True
instance_088.lp,19.693610429763794,False,22.24604606628418,False,1800,True,1800,True
instance_091.lp,969.6819939613342,False,982.1372630596161,False,1800,True,1800,True
instance_094.lp,279.5363702774048,False,297.96336030960083,False,1800,True,1800,True
instance_097.lp,1311.815711736679,False,1330.845013141632,False,1800,True,1800,True
instance_100.lp,196.62730956077576,False,215.46382212638855,False,1800,True,1800,True
instance_103.lp,104.2320339679718,False,112.18187499046326,False,1800,True,1800,True
instance_106.lp,270.8475058078766,False,287.1981065273285,False,1800,True,1800,True
instance_109.lp,316.66083455085754,False,336.11554408073425,False,1800,True,1800,True
instance_112.lp,1806.6019051074982,True,1808.8678426742554,True,1800,True,1800,True
instance_115.lp,1800,True,1800,True,1800,True,1800,True
instance_118.lp,1800,True,1800,True,1800,True,1800,True
instance_121.lp,1800,True,1800,True,1800,True,1800,True
instance_124.lp,1800,True,1800,True,1800,True,1800,True
instance_127.lp,1800,True,1800,True,1800,True,1800,True
instance_130.lp,1800,True,1800,True,1800,True,1800,True
instance_133.lp,1800,True,1800,True,1800,True,1800,True
instance_136.lp,1800,True,1800,True,1800,True,1800,True
instance_139.lp,1800,True,1800,True,1800,True,1800,True
instance_142.lp,1800,True,1800,True,1800,True,1800,True
instance_145.lp,1800,True,1800,True,1800,True,1800,True
instance_148.lp,1800,True,1800,True,1800,True,1800,True
instance_151.lp,1800,True,1800,True,1800,True,1800,True
instance_154.lp,1800,True,1800,True,1800,True,1800,True
instance_157.lp,1800,True,1800,True,1800,True,1800,True
instance_160.lp,1800,True,1800,True,1800,True,1800,True
instance_163.lp,1800,True,1800,True,1800,True,1800,True
instance_166.lp,1800,True,1800,True,1800,True,1800,True
instance_169.lp,1800,True,1800,True,1800,True,1800,True
instance_172.lp,1800,True,1800,True,1800,True,1800,True
instance_175.lp,1800,True,1800,True,1800,True,1800,True
instance_178.lp,1800,True,1800,True,1800,True,1800,True
instance_181.lp,1800,True,1800,True,1800,True,1800,True
instance_184.lp,1800,True,1800,True,1800,True,1800,True
instance_187.lp,1800,True,1800,True,1800,True,1800,True
instance_190.lp,1800,True,1800,True,1800,True,1800,True
instance_193.lp,1800,True,1800,True,1800,True,1800,True
instance_196.lp,1800,True,1800,True,1800,True,1800,True
instance_199.lp,1800,True,1800,True,1800,True,1800,True
