instance,clingo-duration,clingo-timeout-occured,dlv-duration,dlv-timeout-occured,newground-duration,newground-timeout-occured
instance_05.lp,0,False,0.005549192428588867,False,0,False
instance_10.lp,0,False,0.16591548919677734,False,0,False
instance_12.lp,0,False,0.5676689147949219,False,0,False
instance_15.lp,0,False,1.6202738285064697,False,0,False
instance_17.lp,0,False,6.53307843208313,False,0,False
instance_19.lp,0,False,10.642984867095947,False,0,False
instance_21.lp,0,False,15.5048348903656,False,0,False
instance_23.lp,0,False,36.90728425979614,False,0,False
instance_25.lp,0,False,60.31534957885742,False,0,False
instance_27.lp,0,False,79.7694160938263,False,0,False
instance_29.lp,0,False,143.0750002861023,False,0,False
